No,Feature_Name
0,anger
1,anticipation
2,disgust
3,fear
4,joy
5,sadness
6,surprise
7,trust
8,ave_sentiment
9,txt_len
10,cap_n
11,cap_mean
12,num_n
13,num_mean
14,sen_n
15,w2c_1
16,w2c_2
17,w2c_3
18,w2c_4
19,w2c_5
20,w2c_6
21,w2c_7
22,w2c_8
23,w2c_9
24,w2c_10
25,w2c_11
26,w2c_12
27,w2c_13
28,w2c_14
29,w2c_15
30,w2c_16
31,w2c_17
32,w2c_18
33,w2c_19
34,w2c_20
35,w2c_21
36,w2c_22
37,w2c_23
38,w2c_24
39,w2c_25
40,w2c_26
41,w2c_27
42,w2c_28
43,w2c_29
44,w2c_30
45,w2c_31
46,w2c_32
47,w2c_33
48,w2c_34
49,w2c_35
50,w2c_36
51,w2c_37
52,w2c_38
53,w2c_39
54,w2c_40
55,w2c_41
56,w2c_42
57,w2c_43
58,w2c_44
59,w2c_45
60,w2c_46
61,w2c_47
62,w2c_48
63,w2c_49
64,w2c_50
65,d2c_1
66,d2c_2
67,d2c_3
68,d2c_4
69,d2c_5
70,d2c_6
71,d2c_7
72,d2c_8
73,d2c_9
74,d2c_10
75,d2c_11
76,d2c_12
77,d2c_13
78,d2c_14
79,d2c_15
80,d2c_16
81,d2c_17
82,d2c_18
83,d2c_19
84,d2c_20
85,d2c_21
86,d2c_22
87,d2c_23
88,d2c_24
89,d2c_25
90,d2c_26
91,d2c_27
92,d2c_28
93,d2c_29
94,d2c_30
95,d2c_31
96,d2c_32
97,d2c_33
98,d2c_34
99,d2c_35
100,d2c_36
101,d2c_37
102,d2c_38
103,d2c_39
104,d2c_40
105,d2c_41
106,d2c_42
107,d2c_43
108,d2c_44
109,d2c_45
110,d2c_46
111,d2c_47
112,d2c_48
113,d2c_49
114,d2c_50
115,bert_1
116,bert_2
117,bert_3
118,bert_4
119,bert_5
120,bert_6
121,bert_7
122,bert_8
123,bert_9
124,bert_10
125,bert_11
126,bert_12
127,bert_13
128,bert_14
129,bert_15
130,bert_16
131,bert_17
132,bert_18
133,bert_19
134,bert_20
135,bert_21
136,bert_22
137,bert_23
138,bert_24
139,bert_25
140,bert_26
141,bert_27
142,bert_28
143,bert_29
144,bert_30
145,bert_31
146,bert_32
147,bert_33
148,bert_34
149,bert_35
150,bert_36
151,bert_37
152,bert_38
153,bert_39
154,bert_40
155,bert_41
156,bert_42
157,bert_43
158,bert_44
159,bert_45
160,bert_46
161,bert_47
162,bert_48
163,bert_49
164,bert_50
165,bert_51
166,bert_52
167,bert_53
168,bert_54
169,bert_55
170,bert_56
171,bert_57
172,bert_58
173,bert_59
174,bert_60
175,bert_61
176,bert_62
177,bert_63
178,bert_64
179,bert_65
180,bert_66
181,bert_67
182,bert_68
183,bert_69
184,bert_70
185,bert_71
186,bert_72
187,bert_73
188,bert_74
189,bert_75
190,bert_76
191,bert_77
192,bert_78
193,bert_79
194,bert_80
195,bert_81
196,bert_82
197,bert_83
198,bert_84
199,bert_85
200,bert_86
201,bert_87
202,bert_88
203,bert_89
204,bert_90
205,bert_91
206,bert_92
207,bert_93
208,bert_94
209,bert_95
